BBDD;ID_ANYO;EDAD;SEX;POLIZAS;EXPOSICION;SINIESTROS
Ahorro;2010;101;V;3;2,4410958904;0
Ahorro;2010;102;V;1;0,3232876712;0
Ahorro;2010;103;V;1;1,0000000000;0
Ahorro;2010;106;V;1;1,0000000000;0
Ahorro;2010;107;M;1;1,0000000000;0
Ahorro;2010;108;M;1;0,1643835616;0
Ahorro;2010;122;M;1;1,0000000000;0
Ahorro;2011;16;V;1;0,2246575342;0
Ahorro;2011;17;M;1;0,2356164384;0
Ahorro;2011;17;V;5;5,0000000000;0
Ahorro;2011;18;M;45;16,665753425;0
Ahorro;2011;18;V;40;12,786301370;0
Ahorro;2011;19;M;84;52,682191781;0
Ahorro;2011;19;V;100;69,235616438;0
Ahorro;2011;20;M;157;116,29315068;0
Ahorro;2011;20;V;166;112,03561644;0
Ahorro;2011;21;M;236;174,40273973;0
Ahorro;2011;21;V;238;175,47671233;0
Ahorro;2011;22;M;276;200,91232877;0
Ahorro;2011;22;V;300;230,17808219;0
Ahorro;2011;23;M;405;321,49315068;0
Ahorro;2011;23;V;399;311,98904110;0
Ahorro;2011;24;M;444;345,29863014;0
Ahorro;2011;24;V;451;348,64657534;0
Ahorro;2011;25;M;579;421,21643836;0
Ahorro;2011;25;V;519;393,84931507;0
Ahorro;2011;26;M;720;545,44657534;1
Ahorro;2011;26;V;675;517,63561644;0
Ahorro;2011;27;M;840;648,56164384;1
Ahorro;2011;27;V;732;577,20000000;0
Ahorro;2011;28;M;960;747,79178082;0
Ahorro;2011;28;V;861;676,72602740;0
Ahorro;2011;29;M;1099;880,66575342;0
Ahorro;2011;29;V;916;720,61917808;0
Ahorro;2011;30;M;1202;962,20821918;0
Ahorro;2011;30;V;1129;923,58082192;1
Ahorro;2011;31;M;1282;1064,9835616;0
Ahorro;2011;31;V;1123;908,90410959;0
Ahorro;2011;32;M;1455;1201,9506849;0
Ahorro;2011;32;V;1258;1044,3506849;0
Ahorro;2011;33;M;1671;1355,0356164;0
Ahorro;2011;33;V;1530;1253,1095890;1
Ahorro;2011;34;M;1768;1483,1260274;0
Ahorro;2011;34;V;1722;1428,6739726;0
Ahorro;2011;35;M;1824;1533,0547945;0
Ahorro;2011;35;V;1808;1478,0027397;0
Ahorro;2011;36;M;2036;1700,3041096;1
Ahorro;2011;36;V;1990;1673,5452055;1
Ahorro;2011;37;M;2100;1749,1753425;0
Ahorro;2011;37;V;2092;1743,6520548;3
Ahorro;2011;38;M;2203;1848,8931507;0
Ahorro;2011;38;V;2163;1819,1397260;1
Ahorro;2011;39;M;2379;2032,7698630;0
Ahorro;2011;39;V;2390;2043,5808219;0
